"","id","accession_number","artist","artistRole","artistId","title","dateText","medium","creditLine","year","acquisitionYear","dimensions","width","height","depth","units","inscription","thumbnailCopyright","thumbnailUrl","url"
"34417",59053,"D31833","Turner, Joseph Mallord William","artist",558,"Entrance to Grand Canal","1840","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1840",1856,"support: 173 x 123 mm","173","123",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D31/D31833_8.jpg","http://www.tate.org.uk/art/artworks/turner-entrance-to-grand-canal-d31833"
"69191",117863,"T13859","Andrade, Jonathas de","artist",15587,"Tropical Hangover","2009","151 text panels, typewritten ink on paper, 53 photographs, black and white and colour, digital prints on paper, framed,","Presented by Pedro Barbosa 2011","2009",2013,"Overall display dimensions variable ","","",NA,"","","","","http://www.tate.org.uk/art/artworks/andrade-tropical-hangover-t13859"
"37936",62585,"D35464","Turner, Joseph Mallord William","artist",558,"Dieppe Lighthouse from the Western Jetty","1845","Gouache and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1845",1856,"support: 232 x 332 mm","232","332",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D35/D35464_8.jpg","http://www.tate.org.uk/art/artworks/turner-dieppe-lighthouse-from-the-western-jetty-d35464"
"58884",5742,"T03446","Guthrie, Sir James","artist",228,"The Wash","1882–3","Oil paint on canvas","Purchased 1982","1882",1982,"support: 940 x 735 mm frame: 1141 x 938 x 78 mm","940","735",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T03/T03446_8.jpg","http://www.tate.org.uk/art/artworks/guthrie-the-wash-t03446"
"49570",7183,"P07537","Johnstone, William","artist",1367,"[title not known]","1981","Lithograph on paper","Purchased 1981","1981",1981,"image: 324 x 511 mm","324","511",NA,"mm","","© The estate of William Johnstone","http://www.tate.org.uk/art/images/work/P/P07/P07537_8.jpg","http://www.tate.org.uk/art/artworks/johnstone-title-not-known-p07537"
"64540",23212,"T09174","Marlow, William","artist",368,"Naples","date not known","Graphite and ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 212 x 340 mm","212","340",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T09/T09174_8.jpg","http://www.tate.org.uk/art/artworks/marlow-naples-t09174"
"8909",33448,"D06057","Turner, Joseph Mallord William","artist",558,"Verses (Inscriptions by Turner)","c.1807–8","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1807",1856,"support: 163 x 92 mm","163","92",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D06/D06057_8.jpg","http://www.tate.org.uk/art/artworks/turner-verses-inscriptions-by-turner-d06057"
"10031",34572,"D07183","Turner, Joseph Mallord William","artist",558,"Blank","c.1807–9","","Accepted by the nation as part of the Turner Bequest 1856","1807",1856,"support: 108 x 185 mm","108","185",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d07183"
"61119",18812,"T05691","Stanfield, Clarkson Frederick","after",518,"Dover Pier, engraved by J.W. Appleton","1836","Etching on paper","Transferred from the Library 1989","1836",1989,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T05/T05691_8.jpg","http://www.tate.org.uk/art/artworks/stanfield-dover-pier-engraved-by-jw-appleton-t05691"
"18568",43129,"D15773","Turner, Joseph Mallord William","artist",558,"?The Walls of Pompeii from the Salerno Road, with Vesuvius in Distance","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D15/D15773_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-walls-of-pompeii-from-the-salerno-road-with-vesuvius-in-distance-d15773"
"7069",31600,"D04207","Turner, Joseph Mallord William","artist",558,"Fishing Smacks off Calais Pier","1802","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1802",1856,"support: 112 x 187 mm","112","187",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D04/D04207_8.jpg","http://www.tate.org.uk/art/artworks/turner-fishing-smacks-off-calais-pier-d04207"
"25742",50354,"D23017","Turner, Joseph Mallord William","artist",558,"View down the River near Morlaix, Perhase close to Locqénolé","1826","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 168 x 108 mm","168","108",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D23/D23017_8.jpg","http://www.tate.org.uk/art/artworks/turner-view-down-the-river-near-morlaix-perhase-close-to-locqenole-d23017"
"9199",33739,"D06348","Turner, Joseph Mallord William","artist",558,"Windsor Castle from the North, near Romney Lock: Curfew Tower to the Right","1805","","Accepted by the nation as part of the Turner Bequest 1856","1805",1856,"support: 182 x 117 mm","182","117",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D06/D06348_8.jpg","http://www.tate.org.uk/art/artworks/turner-windsor-castle-from-the-north-near-romney-lock-curfew-tower-to-the-right-d06348"
"18980",43545,"D16189","Turner, Joseph Mallord William","artist",558,"The Interior of the Portico of St Peter’s, Rome, from the Northern Vestibule","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 189 x 114 mm","189","114",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D16/D16189_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-interior-of-the-portico-of-st-peters-rome-from-the-northern-vestibule-d16189"
"51846",98713,"P13040","Hirst, Damien","artist",2308,"I get around","2002","Etching on paper","Presented by Penny Govett 2007","2002",2008,"support: 910 x 710 mm","910","710",NA,"mm","","© Damien Hirst and Science Ltd. ","http://www.tate.org.uk/art/images/work/P/P13/P13040_8.jpg","http://www.tate.org.uk/art/artworks/hirst-i-get-around-p13040"
"55540",117233,"P80217","Takamatsu, Jiro","artist",15501,"Photograph of Photograph","1972–3","Photograph, gelatin silver print on paper","Purchased with assistance from the American Patrons of Tate, courtesy of an anonymous donor 2012","1972",2013,"image: 185 x 232 mm","185","232",NA,"mm","","","","http://www.tate.org.uk/art/artworks/takamatsu-photograph-of-photograph-p80217"
"24537",49149,"D21807","Turner, Joseph Mallord William","artist",558,"The Rocca and Cathedral at Nepi","c.1828–9","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 125 x 171 mm","125","171",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21807_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-rocca-and-cathedral-at-nepi-d21807"
"50458",67956,"P09205","Winner, Gerd","artist",2154,"[no title]","1978","Screenprint on paper","Purchased 1980","1978",1980,"unconfirmed: 502 x 698 mm","502","698",NA,"mm","","© Gerd Winner","http://www.tate.org.uk/art/images/work/P/P09/P09205_8.jpg","http://www.tate.org.uk/art/artworks/winner-no-title-p09205"
"1460",69593,"A01463","Jones, George","artist",300,"[title not known]","date not known","Graphite and gouache on paper","Presented by the artist's widow 1888","",1888,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/A/A01/A01463_8.jpg","http://www.tate.org.uk/art/artworks/jones-title-not-known-a01463"
"35454",60094,"D32908","Turner, Joseph Mallord William","artist",558,"Buildings","1841","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1841",1856,"support: 181 x 111 mm","181","111",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D32/D32908_8.jpg","http://www.tate.org.uk/art/artworks/turner-buildings-d32908"
"11017",35568,"D08179","Turner, Joseph Mallord William","artist",558,"View of a River from a Terrace: ?Mâcon","c.1810–15","Watercolour on paper laid on paper","Bequeathed by Henry Vaughan 1900","1810",1856,"support: 232 x 332 mm","232","332",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D08/D08179_8.jpg","http://www.tate.org.uk/art/artworks/turner-view-of-a-river-from-a-terrace-macon-d08179"
"10555",35103,"D07714","Turner, Joseph Mallord William","artist",558,"Unidentified Subject","circa 1809–11","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1809",1856,"support: 88 x 110 mm","88","110",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D07/D07714_8.jpg","http://www.tate.org.uk/art/artworks/turner-unidentified-subject-d07714"
"48180",8332,"P05530","Landsaat, Hans","artist",1464,"K.","1979","Screenprint on paper","Presented by Rose and Chris Prater through the Institute of Contemporary Prints 1979","1979",1979,"image: 400 x 397 mm","400","397",NA,"mm","date inscribed","© Hans Landsaat","http://www.tate.org.uk/art/images/work/P/P05/P05530_8.jpg","http://www.tate.org.uk/art/artworks/landsaat-k-p05530"
"22844",47438,"D20086","Turner, Joseph Mallord William","artist",558,"View down the Meuse to the Abbey at Flône","1824","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1824",1856,"support: 99 x 162 mm","99","162",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D20/D20086_8.jpg","http://www.tate.org.uk/art/artworks/turner-view-down-the-meuse-to-the-abbey-at-flone-d20086"
"30890",55516,"D28197","Turner, Joseph Mallord William","artist",558,"Two Views of the Viaduct of the ‘Pré au pont’ between Charleville and Mézières","1839","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1839",1856,"support: 168 x 101 mm","168","101",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D28/D28197_8.jpg","http://www.tate.org.uk/art/artworks/turner-two-views-of-the-viaduct-of-the-pre-au-pont-between-charleville-and-mezieres-d28197"
"61051",18871,"T05623","Turner, Joseph Mallord William","after",558,"Hôtel de Ville and Pont d’Arcole","published 1835","Intaglio print on paper","Transferred from the Library 1989","1835",1989,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T05/T05623_8.jpg","http://www.tate.org.uk/art/artworks/turner-hotel-de-ville-and-pont-darcole-t05623"
"22220",46794,"D19441","Turner, Joseph Mallord William","artist",558,"[blank]","c.1825","","Accepted by the nation as part of the Turner Bequest 1856","1825",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d19441"
"18191",42751,"D15395","Turner, Joseph Mallord William","artist",558,"The Forum, Rome, with the Temple of Castor and Pollux","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 113 x 189 mm","113","189",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D15/D15395_8.jpg","http://www.tate.org.uk/art/artworks/turner-the-forum-rome-with-the-temple-of-castor-and-pollux-d15395"
"61836",19588,"T06410","Dayes, Edward","after",143,"Tinemouth Castle and Priory, Northumberland, engraved by B. Comte","published ?1814","Engraving on paper","Transferred from the British Museum 1988","1814",1988,"","","",NA,"","","","http://www.tate.org.uk/art/images/work/T/T06/T06410_8.jpg","http://www.tate.org.uk/art/artworks/dayes-tinemouth-castle-and-priory-northumberland-engraved-by-b-comte-t06410"
"26885",51497,"D24160","Turner, Joseph Mallord William","artist",558,"[blank]","c.1826","","Accepted by the nation as part of the Turner Bequest 1856","1826",1856,"support: 158 x 106 mm","158","106",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d24160"
"46345",19504,"P02994","Le Brun, Christopher, PRA","artist",1481,"[no title]","1990","Etching on paper","Presented by the artist and Charles Booth-Clibborn 1991","1990",1991,"image: 177 x 128 mm","177","128",NA,"mm","","© Christopher Le Brun","http://www.tate.org.uk/art/images/work/P/P02/P02994_8.jpg","http://www.tate.org.uk/art/artworks/le-brun-no-title-p02994"
"13447",38000,"D10625","Turner, Joseph Mallord William","artist",558,"Blank","c.1815–18","","Accepted by the nation as part of the Turner Bequest 1856","1815",1856,"support: 88 x 114 mm","88","114",NA,"mm","","","","http://www.tate.org.uk/art/artworks/turner-blank-d10625"
"17436",41996,"D14634","Turner, Joseph Mallord William","artist",558,"Harbour of Ancona","1819","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1819",1856,"support: 111 x 184 mm","111","184",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D14/D14634_8.jpg","http://www.tate.org.uk/art/artworks/turner-harbour-of-ancona-d14634"
"64446",23109,"T09080","Laing, J.S.","artist",2511,"Figure of Christ from the Tympanum at Vezelay","date not known","Ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 175 x 145 mm","175","145",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T09/T09080_8.jpg","http://www.tate.org.uk/art/artworks/laing-figure-of-christ-from-the-tympanum-at-vezelay-t09080"
"62706",22118,"T07295","Hockney, David","artist",1293,"Bob, London","1964","Graphite, crayon and gouache on paper","Presented by Klaus Anschel in memory of his wife Gerty 1997","1964",1997,"support: 500 x 402 mm","500","402",NA,"mm","date inscribed","© David Hockney","http://www.tate.org.uk/art/images/work/T/T07/T07295_8.jpg","http://www.tate.org.uk/art/artworks/hockney-bob-london-t07295"
"65217",23244,"T09851","May, Phil","artist",1600,"Waiter and Diner. Caricature","date not known","Graphite and ink on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 374 x 273 mm","374","273",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T09/T09851_8.jpg","http://www.tate.org.uk/art/artworks/may-waiter-and-diner-caricature-t09851"
"29323",53948,"D26611","Turner, Joseph Mallord William","artist",558,"Tarbert Castle at, East Tarbert, Kintyre","1831","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1831",1856,"support: 201 x 125 mm","201","125",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D26/D26611_8.jpg","http://www.tate.org.uk/art/artworks/turner-tarbert-castle-at-east-tarbert-kintyre-d26611"
"65031",24509,"T09665","Callcott, Sir Augustus Wall","artist",78,"[title not known]","date not known","Graphite on paper","Purchased as part of the Oppé Collection with assistance from the National Lottery through the Heritage Lottery Fund 1996","",1997,"support: 80 x 85 mm","80","85",NA,"mm","","","http://www.tate.org.uk/art/images/work/T/T09/T09665_8.jpg","http://www.tate.org.uk/art/artworks/callcott-title-not-known-t09665"
"24603",49215,"D21874","Turner, Joseph Mallord William","artist",558,"Cliffs on Coast","1828","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1828",1856,"support: 71 x 88 mm","71","88",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D21/D21874_8.jpg","http://www.tate.org.uk/art/artworks/turner-cliffs-on-coast-d21874"
"38708",63365,"D36279","Turner, Joseph Mallord William","artist",558,"Rain Clouds over the Sea","?c.1832","Gouache and watercolour on paper","Accepted by the nation as part of the Turner Bequest 1856","1832",1856,"support: 189 x 284 mm","189","284",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D36/D36279_8.jpg","http://www.tate.org.uk/art/artworks/turner-rain-clouds-over-the-sea-d36279"
"139",1923,"A00139","Callow, William","artist",79,"Markt, Coburg","1863","Graphite on paper","Purchased 1912","1863",1912,"support: 248 x 349 mm","248","349",NA,"mm","date inscribed","","http://www.tate.org.uk/art/images/work/A/A00/A00139_8.jpg","http://www.tate.org.uk/art/artworks/callow-markt-coburg-a00139"
"13145",37697,"D10320","Turner, Joseph Mallord William","artist",558,"?Near Heathfield","1810","Graphite on paper","Accepted by the nation as part of the Turner Bequest 1856","1810",1856,"support: 199 x 323 mm","199","323",NA,"mm","","","http://www.tate.org.uk/art/images/work/D/D10/D10320_8.jpg","http://www.tate.org.uk/art/artworks/turner-near-heathfield-d10320"
